Date,Daily_Closing,Weekly_average,Monthly_average,Weekly_var,Monthly_var
2018-02-02,383.75,,,,
2018-02-05,395.8,,,,
2018-02-06,375.45,,,,
2018-02-07,377.8,,,,
2018-02-08,374.85,,,,
2018-02-09,368.75,,,,
2018-02-12,371.8,378.31,,,
2018-02-14,376.85,377.33,,,
2018-02-15,375.8,374.47,,,
2018-02-16,370.75,373.8,,,
2018-02-19,368.75,372.51,,,
2018-02-20,369.3,371.71,,,
2018-02-21,364.45,371.1,,,
2018-02-22,358.5,369.2,,,
2018-02-23,360.2,366.82,,,
2018-02-26,372.05,366.29,,,
2018-02-27,372.55,366.54,,,
2018-02-28,369.9,366.71,,,
2018-03-01,370.75,366.91,,,
2018-03-05,352.05,365.14,,,
2018-03-06,346.5,363.43,,,
2018-03-07,347.8,361.66,,,
2018-03-08,345.15,357.81,,,
2018-03-09,341.5,353.38,,,
2018-03-12,352.6,350.91,,,
2018-03-13,353.15,348.39,,,
2018-03-14,354.05,348.68,,,
2018-03-15,353.1,349.62,,,
2018-03-16,339.75,348.47,,,
2018-03-19,335.7,347.12,363.31,206.93,206.93
2018-03-20,338.8,346.74,361.81,210.93,210.93
2018-03-21,333.85,344.06,359.75,193.66,193.66
2018-03-22,338.2,341.92,358.51,199.58,199.58
2018-03-23,330.85,338.61,356.94,210.59,210.59
2018-03-26,332.35,335.64,355.53,218.31,218.31
2018-03-27,331.15,334.41,354.27,231.15,231.15
2018-03-28,326.85,333.15,352.77,244.17,244.17
2018-04-02,339.15,333.2,351.52,228.95,228.95
2018-04-03,343.1,334.52,350.43,209.83,209.83
2018-04-04,355.6,337.01,349.92,196.25,196.25
2018-04-05,362.2,341.49,349.7,189.18,189.18
2018-04-06,364.1,346.02,349.53,183.05,183.05
2018-04-09,358.3,349.9,349.33,177.98,177.98
2018-04-10,353.25,353.67,349.15,175.58,175.58
2018-04-11,355.8,356.05,349.0,172.87,172.87
2018-04-12,358.4,358.24,348.55,157.39,157.39
2018-04-13,357.05,358.44,348.03,139.74,139.74
2018-04-16,339.15,355.15,347.01,124.89,124.89
2018-04-17,336.45,351.2,345.86,107.94,107.94
2018-04-18,334.8,347.84,345.29,110.5,110.5
2018-04-19,334.25,345.13,344.88,114.48,114.48
2018-04-20,336.0,342.3,344.49,116.75,116.75
2018-04-23,334.05,338.82,344.12,120.35,120.35
2018-04-24,331.55,335.18,343.79,125.45,125.45
2018-04-25,328.6,333.67,342.99,130.06,130.06
2018-04-26,330.25,332.79,342.22,131.49,131.49
2018-04-27,336.9,333.09,341.65,127.31,127.31
2018-04-30,340.4,333.96,341.23,122.66,122.66
2018-05-02,336.05,333.97,341.1,123.49,123.49
2018-05-03,333.5,333.89,341.03,124.47,124.47
2018-05-04,334.4,334.3,340.88,125.79,125.79
2018-05-07,335.15,335.24,340.93,125.22,125.22
2018-05-08,332.15,335.51,340.73,127.58,127.58
2018-05-09,341.95,336.23,341.1,124.12,124.12
2018-05-10,333.6,335.26,341.14,123.42,123.42
2018-05-11,330.8,334.51,341.13,123.67,123.67
2018-05-14,323.6,333.09,341.02,127.22,127.22
2018-05-15,310.1,329.62,340.05,159.09,159.09
2018-05-16,310.25,326.06,338.95,188.15,188.15
2018-05-17,314.9,323.6,337.6,196.65,196.65
2018-05-18,304.6,318.26,335.68,209.51,209.51
2018-05-21,295.9,312.88,333.4,230.87,230.87
2018-05-22,307.7,309.58,331.72,229.34,229.34
2018-05-23,309.45,307.56,330.26,228.25,228.25
2018-05-24,288.65,304.49,328.02,260.27,260.27
2018-05-25,294.15,302.19,325.88,263.26,263.26
2018-05-28,296.3,299.54,323.85,255.68,255.68
2018-05-29,294.65,298.11,322.37,274.74,274.74
2018-05-30,288.9,297.11,320.78,303.94,303.94
2018-05-31,282.5,293.51,319.04,344.56,344.56
2018-06-01,287.2,290.34,317.47,369.0,369.0
2018-06-04,286.65,290.05,315.83,387.13,387.13
2018-06-05,284.95,288.74,314.19,405.79,405.79
2018-06-06,295.65,288.64,312.99,405.77,405.77
2018-06-07,305.4,290.18,312.22,398.74,398.74
2018-06-08,309.95,293.19,311.54,387.24,387.24
2018-06-11,309.75,297.08,310.64,364.34,364.34
2018-06-12,307.8,300.02,309.55,332.85,332.85
2018-06-13,308.4,303.13,308.63,307.81,307.81
2018-06-14,305.9,306.12,307.71,285.87,285.87
2018-06-15,302.95,307.16,306.66,260.95,260.95
2018-06-18,308.8,307.65,305.78,232.33,232.33
2018-06-19,305.05,306.95,304.88,207.53,207.53
2018-06-20,305.6,306.36,303.67,158.65,158.65
2018-06-21,307.0,306.24,302.78,127.33,127.33
2018-06-22,308.0,306.19,302.02,100.6,100.6
2018-06-25,289.4,303.83,300.88,88.7,88.7
2018-06-26,276.85,300.1,299.77,104.42,104.42
2018-06-27,271.05,294.71,298.47,127.32,127.32
2018-06-28,263.35,288.75,296.75,157.48,157.48
2018-06-29,269.3,283.56,295.57,179.91,179.91
2018-07-02,266.7,277.81,294.6,207.67,207.67
2018-07-03,269.45,272.3,293.32,221.89,221.89
2018-07-04,267.05,269.11,291.91,234.66,234.66
2018-07-05,261.55,266.92,291.01,265.23,265.23
2018-07-06,270.85,266.89,290.23,278.28,278.28
2018-07-09,273.5,268.34,289.47,286.07,286.07
2018-07-10,275.45,269.22,288.83,291.5,291.5
2018-07-11,267.8,269.38,288.13,306.24,306.24
2018-07-12,266.1,268.9,287.58,321.57,321.57
2018-07-13,263.6,268.41,286.79,340.76,340.76
2018-07-16,252.1,267.06,285.64,380.89,380.89
2018-07-17,257.95,265.21,284.74,406.49,406.49
2018-07-18,251.85,262.12,283.28,437.49,437.49
2018-07-19,252.5,258.84,281.52,450.08,450.08
2018-07-20,253.4,256.79,279.63,445.8,445.8
2018-07-23,258.75,255.74,277.93,426.58,426.58
2018-07-24,258.8,255.05,276.3,405.69,405.69
2018-07-25,257.85,255.87,274.62,378.96,378.96
2018-07-26,258.25,255.91,273.03,351.84,351.84
2018-07-27,268.15,258.24,271.87,320.4,320.4
2018-07-30,267.5,260.39,270.49,272.07,272.07
2018-07-31,264.1,261.91,269.13,230.36,230.36
2018-08-01,265.05,262.81,267.77,183.18,183.18
2018-08-02,260.85,263.11,266.24,129.33,129.33
2018-08-03,258.45,263.19,264.59,68.45,68.45
2018-08-06,254.05,262.59,263.41,49.61,49.61
2018-08-07,251.6,260.23,262.57,47.45,47.45
2018-08-08,255.15,258.46,262.04,46.57,46.57
2018-08-09,257.85,257.57,261.85,47.08,47.08
2018-08-10,250.1,255.44,261.21,49.51,49.51
2018-08-13,248.7,253.7,260.61,53.49,53.49
2018-08-14,248.8,252.32,259.92,55.12,55.12
2018-08-16,251.3,251.93,259.4,55.65,55.65
2018-08-17,258.25,252.88,259.29,55.52,55.52
2018-08-20,270.1,255.01,259.26,54.94,54.94
2018-08-21,268.8,256.58,259.11,51.06,51.06
2018-08-23,256.9,257.55,258.49,41.63,41.63
2018-08-24,255.5,258.52,258.08,38.77,38.77
2018-08-27,258.8,259.95,257.84,36.51,36.51
2018-08-28,260.0,261.19,257.72,35.51,35.51
2018-08-29,261.7,261.69,258.04,34.86,34.86
2018-08-30,259.35,260.15,258.08,34.92,34.92
2018-08-31,267.5,259.96,258.6,36.36,36.36
2018-09-03,266.6,261.35,259.07,37.05,37.05
2018-09-04,261.95,262.27,259.36,36.14,36.14
2018-09-05,266.5,263.37,259.62,37.82,37.82
2018-09-06,269.95,264.79,259.99,41.34,41.34
2018-09-07,277.4,267.04,260.64,51.19,51.19
2018-09-10,275.7,269.37,261.22,58.47,58.47
2018-09-11,267.3,269.34,261.19,58.08,58.08
2018-09-12,262.4,268.74,261.02,56.73,56.73
2018-09-14,266.6,269.41,261.11,57.47,57.47
2018-09-17,260.25,268.51,260.95,56.93,56.93
2018-09-18,251.5,265.88,260.64,59.91,59.91
2018-09-19,252.6,262.34,260.44,61.93,61.93
2018-09-21,250.35,258.71,260.32,64.02,64.02
2018-09-24,240.2,254.84,259.94,75.2,75.2
2018-09-25,240.8,251.76,259.46,86.81,86.81
2018-09-26,233.35,247.01,258.64,109.53,109.53
2018-09-27,225.25,242.01,257.81,144.75,144.75
2018-09-28,223.7,238.04,256.98,181.3,181.3
2018-10-01,229.35,234.71,256.33,204.88,204.88
2018-10-03,227.6,231.46,255.54,231.83,231.83
2018-10-04,223.25,229.04,254.38,266.13,266.13
2018-10-05,216.25,225.54,252.58,304.39,304.39
2018-10-08,212.35,222.54,250.7,347.46,347.46
2018-10-09,184.35,216.69,248.28,491.88,491.88
2018-10-10,188.75,211.7,246.06,607.16,607.16
2018-10-11,182.95,205.07,243.53,732.27,732.27
2018-10-12,183.75,198.81,240.99,839.44,839.44
2018-10-15,184.35,193.25,238.41,928.37,928.37
2018-10-16,185.85,188.91,235.96,1002.29,1002.29
2018-10-17,179.95,184.28,233.04,1067.33,1067.33
2018-10-19,174.7,182.9,229.98,1136.14,1136.14
2018-10-22,170.75,180.33,226.94,1212.28,1212.28
2018-10-23,170.65,178.57,223.74,1256.98,1256.98
2018-10-24,170.65,176.7,220.43,1269.2,1269.2
2018-10-25,165.35,173.99,216.7,1247.47,1247.47
2018-10-26,168.5,171.51,213.12,1194.3,1194.3
2018-10-29,175.35,170.85,210.06,1132.56,1132.56
2018-10-30,177.25,171.21,207.22,1066.86,1066.86
2018-10-31,179.1,172.41,204.3,963.73,963.73
2018-11-01,179.45,173.66,201.61,869.59,869.59
2018-11-02,190.3,176.47,199.57,783.86,783.86
2018-11-05,189.8,179.96,197.48,685.64,685.64
2018-11-06,193.25,183.5,195.57,586.1,586.1
2018-11-07,194.85,186.29,194.06,515.08,515.08
2018-11-09,195.25,188.86,192.54,437.41,437.41
2018-11-12,186.05,189.85,190.97,378.87,378.87
2018-11-13,179.5,189.86,189.44,340.46,340.46
2018-11-14,176.8,187.93,187.88,302.97,302.97
2018-11-15,180.2,186.56,186.24,242.91,242.91
2018-11-16,179.9,184.65,184.65,182.69,182.69
2018-11-19,184.6,183.19,183.36,129.59,129.59
2018-11-20,183.75,181.54,182.28,91.08,91.08
2018-11-21,184.15,181.27,181.34,59.1,59.1
2018-11-22,182.55,181.71,181.28,58.83,58.83
2018-11-26,181.75,182.41,181.04,56.86,56.86
2018-11-27,180.05,182.39,180.95,56.76,56.76
2018-11-28,174.45,181.61,180.64,57.84,57.84
2018-11-29,177.25,180.56,180.4,57.7,57.7
2018-11-30,171.95,178.88,179.94,58.92,58.92
2018-12-03,175.45,177.64,179.79,59.59,59.59
2018-12-04,175.75,176.66,179.82,59.26,59.26
2018-12-05,169.2,174.87,179.77,60.31,60.31
2018-12-06,162.65,172.39,179.5,67.47,67.47
2018-12-07,162.4,170.66,179.23,74.78,74.78
2018-12-10,157.1,167.79,178.95,84.94,84.94
2018-12-11,158.1,165.81,178.61,96.05,96.05
2018-12-12,164.1,164.19,178.23,102.79,102.79
2018-12-13,166.85,162.91,177.89,107.1,107.1
2018-12-14,166.95,162.59,177.48,111.0,111.0
2018-12-17,173.95,164.21,177.3,111.27,111.27
2018-12-18,174.75,165.97,176.78,105.38,105.38
2018-12-19,173.9,168.37,176.25,99.53,99.53
2018-12-20,176.4,170.99,175.69,89.24,89.24
2018-12-21,176.25,172.72,175.07,76.19,76.19
2018-12-24,172.5,173.53,174.31,61.77,61.77
2018-12-26,170.9,174.09,173.8,57.15,57.15
2018-12-27,168.25,173.28,173.43,56.95,56.95
2018-12-28,170.85,172.72,173.23,56.75,56.75
2018-12-31,172.7,172.55,172.98,55.02,55.02
2019-01-01,173.45,172.13,172.76,53.33,53.33
2019-01-02,168.55,171.03,172.23,48.81,48.81
2019-01-03,166.05,170.11,171.64,45.19,45.19
2019-01-04,170.95,170.11,171.2,39.61,39.61
2019-01-07,175.35,171.13,170.96,35.71,35.71
2019-01-08,179.95,172.43,170.9,34.48,34.48
2019-01-09,183.05,173.91,171.0,36.67,36.67
2019-01-10,185.75,175.66,171.38,43.61,43.61
2019-01-11,180.3,177.34,171.48,45.16,45.16
2019-01-14,182.4,179.68,171.83,49.14,49.14
2019-01-15,185.35,181.74,172.16,54.88,54.88
2019-01-16,185.45,183.18,172.48,60.42,60.42
2019-01-17,184.9,183.89,173.0,65.08,65.08
2019-01-18,183.3,183.92,173.69,64.55,64.55
2019-01-21,181.5,183.31,174.33,61.84,61.84
2019-01-22,180.85,183.39,175.12,52.42,52.42
2019-01-23,180.25,183.09,175.86,42.78,42.78
2019-01-24,175.4,181.66,176.23,37.87,37.87
2019-01-25,173.25,179.92,176.45,35.09,35.09
2019-01-28,172.3,178.12,176.63,32.54,32.54
2019-01-29,173.6,176.74,176.61,32.61,32.61
2019-01-30,174.6,175.75,176.61,32.63,32.63
2019-01-31,181.2,175.8,176.85,33.04,33.04
2019-02-01,181.65,176.0,177.03,33.8,33.8
2019-02-04,180.25,176.69,177.16,34.12,34.12
2019-02-05,175.8,177.06,177.27,33.42,33.42
2019-02-06,178.5,177.94,177.53,32.01,32.01
2019-02-07,182.85,179.26,178.01,29.77,29.77
2019-02-08,150.7,175.85,177.34,53.26,53.26
2019-02-11,152.65,171.77,176.67,73.07,73.07
2019-02-12,151.8,167.51,175.95,93.51,93.51
2019-02-14,159.85,164.59,175.66,100.47,100.47
2019-02-15,161.65,162.57,175.51,104.03,104.03
2019-02-18,162.9,160.34,175.25,108.73,108.73
2019-02-19,163.75,157.61,174.86,113.13,113.13
2019-02-20,164.8,159.63,174.35,115.46,115.46
2019-02-21,169.7,162.06,173.91,113.39,113.39
2019-02-22,174.3,165.28,173.53,108.41,108.41
2019-02-25,175.75,167.55,173.38,106.98,106.98
2019-02-26,182.65,170.55,173.38,107.13,107.13
2019-02-27,177.35,172.61,173.12,102.67,102.67
2019-02-28,177.45,174.57,172.85,97.99,97.99
2019-03-01,180.3,176.79,172.7,94.88,94.88
2019-03-05,194.05,180.26,173.06,106.59,106.59
2019-03-06,188.8,182.34,173.3,112.62,112.62
2019-03-07,189.3,184.27,173.58,119.4,119.4
2019-03-08,181.2,184.06,173.61,119.87,119.87
2019-03-11,181.85,184.71,173.83,122.05,122.05
2019-03-12,184.8,185.76,174.21,126.04,126.04
2019-03-13,181.7,185.96,174.53,127.74,127.74
2019-03-14,179.55,183.89,174.72,128.54,128.54
2019-03-15,180.0,182.63,174.9,129.47,129.47
2019-03-18,182.25,181.62,174.94,129.96,129.96
2019-03-19,182.85,181.86,174.98,130.56,130.56
2019-03-20,180.2,181.62,174.98,130.55,130.55
2019-03-22,175.4,180.28,174.96,130.53,130.53
2019-03-25,171.3,178.79,174.72,130.5,130.5
2019-03-26,173.1,177.87,174.4,128.2,128.2
2019-03-27,169.85,176.42,175.04,109.13,109.13
2019-03-28,170.55,174.75,175.63,92.18,92.18
2019-04-01,187.35,175.39,176.82,75.87,75.87
2019-04-02,202.95,178.64,178.26,87.35,87.35
2019-04-03,201.35,182.35,179.58,94.43,94.43
2019-04-04,206.15,187.33,181.02,107.03,107.03
2019-04-05,205.15,191.91,182.4,114.85,114.85
2019-04-08,200.55,196.29,183.59,114.06,114.06
2019-04-09,205.9,201.34,184.8,123.06,123.06
2019-04-10,216.05,205.44,186.19,150.94,150.94
2019-04-11,218.2,207.62,187.61,180.44,180.44
2019-04-12,215.95,209.71,188.72,206.02,206.02
2019-04-15,231.75,213.36,190.53,262.03,262.03
2019-04-16,230.5,216.99,192.3,307.99,307.99
2019-04-18,236.25,222.09,194.16,366.05,366.05
2019-04-22,234.85,226.22,195.52,421.22,421.22
2019-04-23,231.65,228.45,196.95,462.56,462.56
2019-04-24,223.6,229.22,198.09,483.68,483.68
2019-04-25,221.85,230.06,199.45,491.4,491.4
2019-04-26,215.6,227.76,200.57,488.41,488.41
2019-04-30,214.3,225.44,201.56,485.33,485.33
2019-05-02,207.3,221.31,202.41,472.12,472.12
2019-05-03,209.45,217.68,203.41,454.78,454.78
2019-05-06,199.8,213.13,204.07,435.88,435.88
2019-05-07,190.95,208.46,204.36,425.32,425.32
2019-05-08,185.1,203.21,204.43,422.15,422.15
2019-05-09,186.35,199.04,204.64,413.13,413.13
2019-05-10,185.9,194.98,204.99,395.63,395.63
2019-05-13,180.75,191.19,205.3,376.66,376.66
2019-05-14,184.5,187.62,205.68,355.67,355.67
2019-05-15,169.45,183.29,205.67,356.67,356.67
2019-05-16,175.4,181.06,205.83,345.7,345.7
2019-05-17,176.85,179.89,205.48,362.76,362.76
2019-05-20,190.15,180.43,205.05,370.45,370.45
2019-05-21,176.8,179.13,204.24,396.82,396.82
2019-05-22,179.1,178.89,203.33,417.63,417.63
2019-05-23,175.15,177.56,202.33,443.87,443.87
2019-05-24,182.3,179.39,201.73,457.22,457.22
2019-05-27,181.35,180.24,200.91,470.24,470.24
2019-05-28,180.25,180.73,199.71,475.58,475.58
2019-05-29,176.35,178.76,198.32,480.6,480.6
2019-05-30,175.15,178.52,196.96,486.48,486.48
2019-05-31,172.6,177.59,194.99,461.17,461.17
2019-06-03,174.5,177.5,193.12,428.55,428.55
2019-06-04,173.25,176.21,191.02,373.46,373.46
2019-06-06,169.7,174.54,188.85,318.01,318.01
2019-06-07,169.5,173.01,186.78,263.31,263.31
2019-06-10,166.2,171.56,184.86,227.36,227.36
2019-06-11,170.75,170.93,183.16,184.06,184.06
2019-06-12,169.05,170.42,181.61,152.14,152.14
2019-06-13,167.4,169.41,180.05,119.72,119.72
2019-06-14,164.2,168.11,178.61,100.63,100.63
2019-06-17,158.75,166.55,176.92,78.48,78.48
2019-06-18,158.3,164.95,175.54,70.39,70.39
2019-06-19,154.65,163.3,174.32,75.73,75.73
2019-06-20,159.25,161.66,173.46,78.79,78.79
2019-06-21,158.9,160.21,172.55,79.51,79.51
2019-06-24,159.3,159.05,171.66,78.6,78.6
2019-06-25,160.45,158.51,170.98,79.62,79.62
2019-06-26,161.1,158.85,170.2,76.06,76.06
2019-06-27,165.85,159.93,170.09,76.68,76.68
2019-06-28,162.55,161.06,169.66,77.47,77.47
2019-07-01,168.0,162.31,169.36,75.69,75.69
2019-07-02,163.75,163.0,168.48,61.08,61.08
2019-07-03,162.3,163.43,168.0,59.77,59.77
2019-07-04,165.2,164.11,167.54,55.56,55.56
2019-07-05,160.2,163.98,167.04,55.16,55.16
2019-07-08,154.55,162.36,166.11,51.62,51.62
2019-07-09,155.8,161.4,165.26,46.53,46.53
2019-07-10,151.65,159.06,164.31,44.23,44.23
2019-07-11,156.8,158.07,163.65,40.73,40.73
2019-07-12,159.3,157.64,163.13,36.54,36.54
2019-07-15,160.95,157.04,162.74,33.45,33.45
2019-07-16,170.0,158.44,162.59,30.48,30.48
2019-07-17,167.9,160.34,162.41,27.5,27.5
2019-07-18,160.75,161.05,162.11,25.67,25.67
2019-07-19,154.85,161.51,161.62,25.36,25.36
2019-07-22,156.75,161.5,161.31,25.35,25.35
2019-07-23,156.2,161.06,160.82,22.93,22.93
2019-07-24,151.25,159.67,160.23,23.4,23.4
2019-07-25,144.3,156.0,159.46,29.76,29.76
2019-07-26,147.15,153.04,158.89,33.88,33.88
2019-07-29,137.55,149.72,158.19,49.07,49.07
2019-07-30,133.45,146.66,157.36,69.45,69.45
2019-07-31,135.6,143.64,156.72,85.1,85.1
2019-08-01,129.55,139.84,155.73,109.33,109.33
2019-08-02,130.7,136.9,154.79,129.68,129.68
2019-08-05,123.75,133.96,153.61,160.75,160.75
2019-08-06,122.5,130.44,152.34,190.85,190.85
